1	4	1	3	5	2023-07-12T19:39:08.699107	2023-07-12T19:44:58.859782	starší pár
2	3	3	3	13	2023-07-12T19:39:08.699579	2023-07-12T19:44:58.859782	starší pár
3	4	1	3	5	2023-07-12T19:44:58.859782	2023-07-12T19:45:53.932608	starší pár
4	3	4	3	13	2023-07-12T19:44:58.860331	2023-07-12T19:45:53.932608	starší pár
5	4	1	3	5	2023-07-12T19:45:53.932608	2023-07-12T20:16:45.714363	starší pár
6	3	2	3	13	2023-07-12T19:45:53.933212	2023-07-12T20:16:45.714363	starší pár
7	4	1	3	5	2023-07-12T20:16:45.714363	2023-07-12T20:26:45.714363	starší pár
8	3	1	3	13	2023-07-12T20:16:45.714873	2023-07-12T20:26:45.714363	starší pár
9	4	1	3	5	2023-07-12T20:19:05.272902	null	starší pár
10	3	1	3	13	2023-07-12T20:19:05.273418	null	starší pár

